,Brand,Processor,RAM,Storage,GPU,ScreenSize,Resolution,BatteryLife,Weight,Operating System,Price,ProcessorBrand,GPUBrand,GPU_Model,GPUreleaseYear
471,Dell,AMD Ryzen 9,8,1TB HDD,Nvidia RTX 2060,14.0,1920x1080,7.6,2.2,macOS,1289.79,AMD,Nvidia,RTX 2060,2019
472,Asus,Intel i9,64,1TB HDD,Nvidia RTX 2060,16.0,2560x1440,4.4,2.31,Windows,4460.16,Intel,Nvidia,RTX 2060,2019
473,Samsung,Intel i7,64,1TB SSD,Nvidia,14.0,3840x2160,7.0,1.35,FreeDOS,3228.1,Intel,Nvidia,,2021
474,Microsoft,AMD Ryzen 5,16,256GB SSD,Nvidia RTX 3080,15.6,1920x1080,5.6,2.03,Linux,1310.94,AMD,Nvidia,RTX 3080,2020
475,Lenovo,Intel i9,4,1TB SSD,Nvidia RTX 2060,14.0,3840x2160,7.1,3.2,FreeDOS,2602.75,Intel,Nvidia,RTX 2060,2019
476,Samsung,Intel i7,64,1TB SSD,Nvidia GTX 1650,17.3,1366x768,10.7,1.46,macOS,2619.87,Intel,Nvidia,GTX 1650,2019
477,Lenovo,AMD Ryzen 9,8,1TB HDD,Nvidia RTX 2060,14.0,3840x2160,4.6,3.35,macOS,2364.57,AMD,Nvidia,RTX 2060,2019
478,Dell,AMD Ryzen 3,32,512GB SSD,AMD Radeon RX 6800,14.0,1920x1080,5.3,3.05,macOS,1255.77,AMD,AMD Radeon,RX 6800,2020
481,HP,AMD Ryzen 5,8,2TB SSD,Nvidia GTX 1650,14.0,3840x2160,7.7,1.31,macOS,1711.16,AMD,Nvidia,GTX 1650,2019
482,Lenovo,Intel i3,16,2TB SSD,AMD Radeon RX 6600,17.3,2560x1440,5.2,1.65,Linux,1272.58,Intel,AMD Radeon,RX 6600,2021
483,Razer,AMD Ryzen 5,32,256GB SSD,Nvidia GTX 1650,15.6,2560x1440,7.0,2.9,Linux,2964.82,AMD,Nvidia,GTX 1650,2019
484,Asus,Intel i3,16,1TB SSD,AMD Radeon RX 6800,17.3,2560x1440,9.6,1.36,FreeDOS,1433.41,Intel,AMD Radeon,RX 6800,2020
485,Dell,Intel i3,32,1TB HDD,Nvidia RTX 2060,15.6,1366x768,6.6,1.89,Windows,906.92,Intel,Nvidia,RTX 2060,2019
486,Razer,Intel i9,64,1TB HDD,Nvidia RTX 2060,16.0,3840x2160,10.5,2.65,Windows,8239.94,Intel,Nvidia,RTX 2060,2019
487,Dell,Intel i7,32,256GB SSD,Nvidia RTX 3080,17.3,1366x768,4.8,1.57,Windows,1730.52,Intel,Nvidia,RTX 3080,2020
489,HP,AMD Ryzen 5,8,1TB HDD,Nvidia RTX 2060,14.0,2560x1440,6.9,3.48,FreeDOS,981.22,AMD,Nvidia,RTX 2060,2019
490,Dell,Intel i3,4,256GB SSD,Integrated,16.0,1366x768,8.4,1.22,FreeDOS,440.57,Intel,Integrata,,2020
491,MSI,Intel i7,4,512GB SSD,Nvidia RTX 3080,17.3,1366x768,9.9,2.36,FreeDOS,1439.5,Intel,Nvidia,RTX 3080,2020
492,Samsung,AMD Ryzen 5,32,512GB SSD,Nvidia GTX 1650,16.0,1920x1080,9.3,2.67,FreeDOS,1774.33,AMD,Nvidia,GTX 1650,2019
493,HP,AMD Ryzen 3,64,256GB SSD,Nvidia RTX 3080,13.3,1920x1080,4.3,3.27,FreeDOS,2058.68,AMD,Nvidia,RTX 3080,2020
495,Asus,Intel i5,64,256GB SSD,Nvidia,15.6,2560x1440,8.6,2.63,Linux,2332.66,Intel,Nvidia,,2021
496,Dell,Intel i5,32,512GB SSD,AMD Radeon RX 6800,17.3,1366x768,10.7,2.84,FreeDOS,1392.21,Intel,AMD Radeon,RX 6800,2020
497,Razer,Intel i3,16,1TB SSD,Nvidia RTX 3060,15.6,1920x1080,4.5,3.18,macOS,1669.47,Intel,Nvidia,RTX 3060,2021
498,HP,AMD Ryzen 3,8,2TB SSD,AMD Radeon RX 6800,13.3,1920x1080,11.9,3.35,Linux,828.24,AMD,AMD Radeon,RX 6800,2020
499,Razer,AMD Ryzen 5,64,1TB SSD,AMD Radeon RX 6800,15.6,3840x2160,5.0,2.9,Linux,5944.48,AMD,AMD Radeon,RX 6800,2020
500,Acer,Intel i9,4,2TB SSD,AMD Radeon RX 6800,15.6,1920x1080,11.1,2.67,FreeDOS,1667.09,Intel,AMD Radeon,RX 6800,2020
501,Razer,Intel i3,4,2TB SSD,Nvidia GTX 1650,15.6,2560x1440,9.5,1.8,FreeDOS,1425.9,Intel,Nvidia,GTX 1650,2019
502,HP,AMD Ryzen 9,16,512GB SSD,Nvidia,16.0,1366x768,6.1,1.81,Windows,1375.0,AMD,Nvidia,,2020
503,Razer,Intel i7,16,512GB SSD,Nvidia RTX 3080,16.0,2560x1440,7.3,2.69,FreeDOS,2939.42,Intel,Nvidia,RTX 3080,2020
504,Razer,AMD Ryzen 7,16,256GB SSD,Nvidia RTX 2060,15.6,1366x768,11.5,1.84,macOS,1790.44,AMD,Nvidia,RTX 2060,2019
505,Lenovo,AMD Ryzen 5,16,1TB SSD,AMD Radeon RX 6800,14.0,1366x768,4.8,1.64,Windows,1026.82,AMD,AMD Radeon,RX 6800,2020
510,MSI,AMD Ryzen 3,16,512GB SSD,AMD Radeon RX 6600,17.3,1920x1080,7.2,2.91,Windows,1470.14,AMD,AMD Radeon,RX 6600,2021
511,Acer,AMD Ryzen 3,16,1TB SSD,AMD Radeon RX 6800,14.0,3840x2160,9.7,1.44,FreeDOS,1582.54,AMD,AMD Radeon,RX 6800,2020
513,Samsung,AMD Ryzen 7,32,256GB SSD,AMD Radeon RX 6600,16.0,1920x1080,10.7,1.67,FreeDOS,2227.59,AMD,AMD Radeon,RX 6600,2021
514,HP,AMD Ryzen 3,8,1TB HDD,Integrated,15.6,1366x768,8.7,2.15,Linux,447.12,AMD,Integrata,,2021
515,MSI,Intel i5,32,256GB SSD,Nvidia,15.6,1920x1080,6.8,2.5,Windows,1530.04,Intel,Nvidia,,2020
517,HP,AMD Ryzen 9,64,512GB SSD,Nvidia RTX 3080,14.0,1920x1080,6.8,1.67,Windows,3940.9,AMD,Nvidia,RTX 3080,2020
518,Acer,AMD Ryzen 7,32,256GB SSD,Nvidia GTX 1650,13.3,3840x2160,9.3,2.98,FreeDOS,3154.06,AMD,Nvidia,GTX 1650,2019
519,Acer,Intel i5,64,1TB SSD,AMD Radeon RX 6600,14.0,3840x2160,8.6,3.5,Windows,3806.14,Intel,AMD Radeon,RX 6600,2021
520,Dell,AMD Ryzen 3,32,1TB SSD,Nvidia RTX 3060,15.6,1366x768,7.6,2.8,macOS,1237.54,AMD,Nvidia,RTX 3060,2021
521,Lenovo,AMD Ryzen 5,64,1TB HDD,AMD Radeon RX 6800,16.0,1366x768,6.8,1.27,macOS,1727.67,AMD,AMD Radeon,RX 6800,2020
522,MSI,Intel i9,32,1TB HDD,Nvidia RTX 3060,15.6,1366x768,9.1,1.79,Linux,2628.78,Intel,Nvidia,RTX 3060,2021
523,Asus,AMD Ryzen 3,64,2TB SSD,Nvidia GTX 1650,16.0,1920x1080,5.3,2.1,Windows,2052.42,AMD,Nvidia,GTX 1650,2019
524,Dell,Intel i7,64,1TB SSD,Nvidia RTX 2060,14.0,1920x1080,6.4,2.66,macOS,3093.06,Intel,Nvidia,RTX 2060,2019
525,Microsoft,AMD Ryzen 5,64,512GB SSD,Nvidia RTX 3080,17.3,1366x768,5.1,1.62,Windows,2042.86,AMD,Nvidia,RTX 3080,2020
526,Acer,Intel i7,8,1TB SSD,Nvidia RTX 3080,14.0,1366x768,6.8,1.29,FreeDOS,1192.03,Intel,Nvidia,RTX 3080,2020
527,Razer,AMD Ryzen 3,8,1TB SSD,Nvidia GTX 1650,15.6,2560x1440,7.9,2.46,macOS,1744.33,AMD,Nvidia,GTX 1650,2019
528,Lenovo,AMD Ryzen 7,8,1TB HDD,Nvidia GTX 1650,17.3,2560x1440,6.9,2.73,FreeDOS,1592.07,AMD,Nvidia,GTX 1650,2019
529,Acer,Intel i9,32,1TB HDD,Nvidia GTX 1650,16.0,2560x1440,5.6,1.8,Linux,2881.34,Intel,Nvidia,GTX 1650,2019
531,Samsung,Intel i3,32,2TB SSD,Nvidia RTX 3080,15.6,3840x2160,9.0,2.47,Windows,2488.23,Intel,Nvidia,RTX 3080,2020
532,Microsoft,Intel i9,4,1TB SSD,Nvidia GTX 1650,14.0,1366x768,9.4,2.28,Linux,1409.77,Intel,Nvidia,GTX 1650,2019
533,Acer,Intel i5,32,1TB HDD,AMD Radeon RX 6600,15.6,3840x2160,4.7,2.98,Linux,2471.63,Intel,AMD Radeon,RX 6600,2021
534,Asus,Intel i5,4,1TB SSD,AMD Radeon RX 6800,13.3,3840x2160,6.1,2.93,macOS,1368.12,Intel,AMD Radeon,RX 6800,2020
535,Dell,AMD Ryzen 3,16,2TB SSD,Nvidia,16.0,1920x1080,6.2,1.3,FreeDOS,756.4,AMD,Nvidia,,2021
536,Microsoft,Intel i9,4,256GB SSD,Nvidia RTX 2060,13.3,2560x1440,10.4,3.22,macOS,1938.34,Intel,Nvidia,RTX 2060,2019
537,Lenovo,AMD Ryzen 7,4,256GB SSD,AMD Radeon RX 6800,15.6,1366x768,6.3,2.05,Windows,919.96,AMD,AMD Radeon,RX 6800,2020
539,MSI,AMD Ryzen 7,4,1TB HDD,AMD Radeon RX 6800,14.0,1366x768,9.1,3.29,Windows,1133.28,AMD,AMD Radeon,RX 6800,2020
540,Acer,AMD Ryzen 9,32,256GB SSD,Nvidia RTX 3060,16.0,1920x1080,10.2,1.67,Linux,2765.69,AMD,Nvidia,RTX 3060,2021
541,MSI,AMD Ryzen 3,32,512GB SSD,Nvidia RTX 3080,13.3,1366x768,9.5,3.33,Linux,1532.35,AMD,Nvidia,RTX 3080,2020
542,Dell,Intel i3,8,512GB SSD,Nvidia RTX 3080,16.0,3840x2160,9.1,3.24,macOS,1535.15,Intel,Nvidia,RTX 3080,2020
543,Razer,Intel i7,64,256GB SSD,Nvidia RTX 3080,17.3,3840x2160,8.0,1.42,Linux,7512.79,Intel,Nvidia,RTX 3080,2020
544,Asus,AMD Ryzen 9,8,1TB HDD,Nvidia,13.3,1366x768,8.1,1.95,Windows,876.49,AMD,Nvidia,,2021
545,Dell,AMD Ryzen 5,8,1TB SSD,Nvidia RTX 3060,17.3,2560x1440,7.6,2.67,Windows,1442.4,AMD,Nvidia,RTX 3060,2021
546,Dell,AMD Ryzen 5,64,1TB HDD,AMD Radeon RX 6800,13.3,2560x1440,9.4,3.22,FreeDOS,2482.42,AMD,AMD Radeon,RX 6800,2020
548,Razer,Intel i7,8,1TB HDD,Nvidia RTX 2060,13.3,3840x2160,6.8,1.73,macOS,2525.09,Intel,Nvidia,RTX 2060,2019
549,Samsung,Intel i3,4,1TB HDD,Nvidia GTX 1650,15.6,3840x2160,10.6,1.53,FreeDOS,1267.66,Intel,Nvidia,GTX 1650,2019
551,Razer,Intel i7,8,256GB SSD,Nvidia RTX 2060,17.3,2560x1440,5.8,3.07,Linux,2472.44,Intel,Nvidia,RTX 2060,2019
552,Dell,AMD Ryzen 9,4,1TB SSD,Nvidia RTX 2060,13.3,2560x1440,11.1,3.16,FreeDOS,1738.77,AMD,Nvidia,RTX 2060,2019
553,Microsoft,AMD Ryzen 7,64,2TB SSD,Nvidia GTX 1650,15.6,1366x768,7.7,2.41,FreeDOS,2809.99,AMD,Nvidia,GTX 1650,2019
554,Samsung,Intel i7,8,256GB SSD,AMD Radeon RX 6600,17.3,1366x768,10.7,2.28,macOS,1156.89,Intel,AMD Radeon,RX 6600,2021
555,HP,AMD Ryzen 3,32,1TB HDD,Nvidia,14.0,1920x1080,6.1,3.44,Windows,797.45,AMD,Nvidia,,2020
556,Lenovo,Intel i5,64,512GB SSD,Nvidia RTX 3080,14.0,1920x1080,8.4,3.01,FreeDOS,2419.44,Intel,Nvidia,RTX 3080,2020
557,Acer,AMD Ryzen 9,4,2TB SSD,Nvidia RTX 3060,14.0,3840x2160,4.1,1.95,Windows,2332.15,AMD,Nvidia,RTX 3060,2021
558,Lenovo,AMD Ryzen 3,16,256GB SSD,AMD Radeon RX 6600,13.3,3840x2160,9.5,2.64,macOS,1686.36,AMD,AMD Radeon,RX 6600,2021
559,Acer,AMD Ryzen 7,8,256GB SSD,Nvidia RTX 3060,13.3,1366x768,11.3,2.44,Linux,1096.55,AMD,Nvidia,RTX 3060,2021
560,Samsung,AMD Ryzen 7,64,2TB SSD,Nvidia GTX 1650,14.0,1366x768,9.1,3.14,Windows,2422.24,AMD,Nvidia,GTX 1650,2019
561,Razer,AMD Ryzen 7,64,1TB SSD,AMD Radeon RX 6800,17.3,2560x1440,4.2,2.94,FreeDOS,5648.92,AMD,AMD Radeon,RX 6800,2020
563,Lenovo,AMD Ryzen 9,8,512GB SSD,Nvidia,16.0,1920x1080,6.7,1.79,macOS,1202.14,AMD,Nvidia,,2019
564,Dell,Intel i5,8,2TB SSD,AMD Radeon RX 6800,16.0,2560x1440,5.1,2.45,Windows,1300.88,Intel,AMD Radeon,RX 6800,2020
566,Microsoft,AMD Ryzen 5,32,512GB SSD,Nvidia RTX 3080,16.0,2560x1440,6.8,2.47,Linux,2055.55,AMD,Nvidia,RTX 3080,2020
567,HP,AMD Ryzen 5,32,1TB SSD,Nvidia RTX 3060,17.3,2560x1440,10.5,3.12,FreeDOS,2168.0,AMD,Nvidia,RTX 3060,2021
568,Asus,AMD Ryzen 9,8,1TB HDD,Nvidia,16.0,2560x1440,10.8,2.59,Windows,1296.28,AMD,Nvidia,,2020
569,Razer,AMD Ryzen 7,16,512GB SSD,Nvidia RTX 3060,15.6,2560x1440,11.2,2.94,FreeDOS,2782.11,AMD,Nvidia,RTX 3060,2021
570,Samsung,AMD Ryzen 9,32,256GB SSD,Nvidia GTX 1650,16.0,1366x768,4.1,2.88,Windows,2421.14,AMD,Nvidia,GTX 1650,2019
572,Microsoft,Intel i5,64,1TB SSD,Nvidia RTX 3060,15.6,2560x1440,10.6,2.91,Windows,3178.73,Intel,Nvidia,RTX 3060,2021
573,Samsung,Intel i3,4,1TB HDD,Integrated,17.3,1920x1080,6.1,2.76,Linux,385.4,Intel,Integrata,,2019
575,HP,Intel i3,8,1TB SSD,Nvidia GTX 1650,15.6,1920x1080,5.5,2.0,Windows,843.43,Intel,Nvidia,GTX 1650,2019
576,Acer,AMD Ryzen 5,32,256GB SSD,AMD Radeon RX 6600,17.3,1920x1080,8.2,1.58,Windows,1743.09,AMD,AMD Radeon,RX 6600,2021
577,Razer,AMD Ryzen 7,64,2TB SSD,AMD Radeon RX 6800,15.6,1920x1080,8.9,3.05,Windows,4568.43,AMD,AMD Radeon,RX 6800,2020
578,Asus,Intel i3,32,1TB HDD,AMD Radeon RX 6800,17.3,2560x1440,10.6,1.8,FreeDOS,1465.04,Intel,AMD Radeon,RX 6800,2020
579,Lenovo,AMD Ryzen 9,32,1TB HDD,AMD Radeon RX 6600,16.0,1920x1080,10.4,3.01,Windows,2280.41,AMD,AMD Radeon,RX 6600,2021
580,Samsung,AMD Ryzen 7,8,256GB SSD,Nvidia RTX 2060,17.3,3840x2160,7.6,3.46,Linux,2336.84,AMD,Nvidia,RTX 2060,2019
581,Asus,Intel i5,8,256GB SSD,Nvidia GTX 1650,14.0,2560x1440,5.4,2.89,Linux,1278.94,Intel,Nvidia,GTX 1650,2019
582,Acer,Intel i5,16,256GB SSD,AMD Radeon RX 6600,15.6,1920x1080,9.5,1.65,Linux,1191.61,Intel,AMD Radeon,RX 6600,2021
585,HP,AMD Ryzen 5,32,1TB SSD,Nvidia RTX 3060,16.0,1920x1080,10.6,1.41,macOS,1710.69,AMD,Nvidia,RTX 3060,2021
586,Asus,Intel i7,4,2TB SSD,AMD Radeon RX 6800,17.3,1920x1080,7.1,1.95,FreeDOS,1237.68,Intel,AMD Radeon,RX 6800,2020
587,Lenovo,Intel i7,4,1TB SSD,Integrated,13.3,1366x768,4.6,3.35,Windows,566.31,Intel,Integrata,,2020
588,MSI,Intel i3,32,2TB SSD,Nvidia RTX 3060,14.0,1366x768,5.9,1.65,FreeDOS,1472.6,Intel,Nvidia,RTX 3060,2021
589,Dell,Intel i9,4,512GB SSD,Nvidia RTX 2060,13.3,3840x2160,4.4,2.65,FreeDOS,2628.06,Intel,Nvidia,RTX 2060,2019
590,Dell,Intel i7,64,256GB SSD,Nvidia RTX 2060,14.0,1366x768,6.8,2.55,Linux,2363.91,Intel,Nvidia,RTX 2060,2019
591,MSI,AMD Ryzen 9,32,1TB HDD,Nvidia RTX 3060,15.6,1920x1080,4.3,2.4,FreeDOS,3239.04,AMD,Nvidia,RTX 3060,2021
592,Dell,AMD Ryzen 5,16,512GB SSD,Nvidia,14.0,3840x2160,7.5,3.06,Linux,1278.94,AMD,Nvidia,,2019
594,HP,AMD Ryzen 3,64,2TB SSD,Nvidia RTX 3080,15.6,1366x768,6.8,2.84,macOS,1848.87,AMD,Nvidia,RTX 3080,2020
595,MSI,AMD Ryzen 5,32,256GB SSD,Nvidia GTX 1650,13.3,3840x2160,5.7,1.25,FreeDOS,3498.91,AMD,Nvidia,GTX 1650,2019
596,Samsung,Intel i7,64,2TB SSD,Nvidia RTX 3060,17.3,2560x1440,10.5,1.84,FreeDOS,4130.07,Intel,Nvidia,RTX 3060,2021
597,Lenovo,AMD Ryzen 7,4,1TB SSD,AMD Radeon RX 6600,15.6,1366x768,5.7,2.23,FreeDOS,919.69,AMD,AMD Radeon,RX 6600,2021
598,Samsung,Intel i7,4,256GB SSD,AMD Radeon RX 6600,16.0,1366x768,4.7,2.38,Windows,903.23,Intel,AMD Radeon,RX 6600,2021
599,MSI,AMD Ryzen 3,16,256GB SSD,Nvidia RTX 2060,14.0,1920x1080,8.8,1.27,Windows,1428.51,AMD,Nvidia,RTX 2060,2019
600,HP,AMD Ryzen 5,32,1TB HDD,Nvidia RTX 3080,13.3,2560x1440,5.3,2.77,Windows,1710.97,AMD,Nvidia,RTX 3080,2020
601,Asus,Intel i3,4,1TB SSD,AMD Radeon RX 6800,13.3,1366x768,4.2,3.42,FreeDOS,806.82,Intel,AMD Radeon,RX 6800,2020
602,Asus,AMD Ryzen 3,8,512GB SSD,AMD Radeon RX 6600,13.3,1366x768,9.0,2.91,Windows,788.88,AMD,AMD Radeon,RX 6600,2021
603,MSI,AMD Ryzen 9,8,2TB SSD,Nvidia GTX 1650,14.0,3840x2160,5.3,1.88,Windows,3556.83,AMD,Nvidia,GTX 1650,2019
605,MSI,AMD Ryzen 5,4,1TB SSD,AMD Radeon RX 6800,15.6,3840x2160,9.8,2.75,FreeDOS,2061.34,AMD,AMD Radeon,RX 6800,2020
606,MSI,Intel i7,64,512GB SSD,AMD Radeon RX 6800,13.3,1920x1080,4.4,1.74,FreeDOS,3976.85,Intel,AMD Radeon,RX 6800,2020
607,Asus,AMD Ryzen 9,32,256GB SSD,Nvidia RTX 2060,15.6,1366x768,6.6,1.4,Windows,2486.76,AMD,Nvidia,RTX 2060,2019
608,Microsoft,AMD Ryzen 3,8,1TB HDD,Nvidia RTX 3080,13.3,1920x1080,8.5,2.24,Windows,809.55,AMD,Nvidia,RTX 3080,2020
609,Lenovo,Intel i3,64,2TB SSD,Nvidia RTX 2060,13.3,2560x1440,8.1,1.37,Windows,2497.99,Intel,Nvidia,RTX 2060,2019
610,Asus,Intel i7,32,1TB SSD,Nvidia GTX 1650,15.6,1920x1080,10.7,1.83,Windows,2064.92,Intel,Nvidia,GTX 1650,2019
611,Dell,AMD Ryzen 9,64,1TB HDD,AMD Radeon RX 6800,14.0,2560x1440,11.2,1.3,Linux,4197.6,AMD,AMD Radeon,RX 6800,2020
612,Microsoft,Intel i9,32,1TB SSD,Nvidia RTX 3060,15.6,2560x1440,8.0,3.43,Windows,3629.8,Intel,Nvidia,RTX 3060,2021
613,Razer,Intel i9,32,512GB SSD,AMD Radeon RX 6600,16.0,3840x2160,5.3,1.36,Windows,6840.28,Intel,AMD Radeon,RX 6600,2021
615,Asus,Intel i3,8,256GB SSD,Integrated,15.6,1366x768,10.0,2.3,Windows,609.51,Intel,Integrata,,2019
616,Samsung,AMD Ryzen 5,32,1TB SSD,Nvidia RTX 2060,13.3,1920x1080,5.8,2.76,FreeDOS,1626.46,AMD,Nvidia,RTX 2060,2019
617,HP,AMD Ryzen 9,64,1TB SSD,Nvidia RTX 2060,16.0,1366x768,8.3,1.58,Linux,3695.54,AMD,Nvidia,RTX 2060,2019
618,Dell,Intel i7,16,256GB SSD,Nvidia GTX 1650,16.0,3840x2160,6.8,1.84,Linux,2629.08,Intel,Nvidia,GTX 1650,2019
619,MSI,AMD Ryzen 7,4,256GB SSD,Nvidia RTX 3080,13.3,1366x768,6.6,1.27,Linux,1150.43,AMD,Nvidia,RTX 3080,2020
620,Samsung,AMD Ryzen 3,64,1TB HDD,AMD Radeon RX 6800,14.0,3840x2160,10.7,1.91,macOS,2641.9,AMD,AMD Radeon,RX 6800,2020
622,Samsung,Intel i3,64,256GB SSD,Nvidia RTX 2060,15.6,2560x1440,5.2,1.95,Linux,2806.63,Intel,Nvidia,RTX 2060,2019
623,Lenovo,AMD Ryzen 7,4,2TB SSD,Nvidia RTX 3080,17.3,3840x2160,8.3,2.56,Linux,2120.99,AMD,Nvidia,RTX 3080,2020
625,Acer,AMD Ryzen 3,8,1TB HDD,Nvidia RTX 3080,16.0,1920x1080,4.7,2.55,Linux,940.66,AMD,Nvidia,RTX 3080,2020
626,Microsoft,Intel i7,32,2TB SSD,Nvidia RTX 3060,17.3,1920x1080,5.1,1.46,FreeDOS,2086.57,Intel,Nvidia,RTX 3060,2021
627,Acer,Intel i5,4,2TB SSD,Nvidia RTX 2060,15.6,1366x768,8.5,3.06,Windows,879.18,Intel,Nvidia,RTX 2060,2019
628,Acer,Intel i5,8,1TB HDD,AMD Radeon RX 6600,17.3,1366x768,9.7,3.08,Windows,821.84,Intel,AMD Radeon,RX 6600,2021
629,Acer,AMD Ryzen 5,64,512GB SSD,AMD Radeon RX 6600,16.0,1366x768,10.3,1.39,Linux,2193.26,AMD,AMD Radeon,RX 6600,2021
630,Asus,Intel i9,64,2TB SSD,Nvidia RTX 3060,15.6,3840x2160,11.7,2.51,Windows,7099.91,Intel,Nvidia,RTX 3060,2021
631,Lenovo,Intel i9,4,1TB SSD,AMD Radeon RX 6800,13.3,3840x2160,5.6,2.0,Windows,2565.12,Intel,AMD Radeon,RX 6800,2020
632,MSI,Intel i3,4,1TB HDD,Nvidia RTX 3080,17.3,1920x1080,4.5,1.25,Linux,858.25,Intel,Nvidia,RTX 3080,2020
633,Lenovo,AMD Ryzen 7,4,1TB SSD,Nvidia RTX 3060,15.6,2560x1440,8.0,3.34,macOS,1446.88,AMD,Nvidia,RTX 3060,2021
634,Razer,Intel i3,32,256GB SSD,Nvidia RTX 3060,16.0,1920x1080,4.7,1.22,macOS,1919.06,Intel,Nvidia,RTX 3060,2021
635,MSI,AMD Ryzen 5,64,512GB SSD,AMD Radeon RX 6800,14.0,1920x1080,5.8,2.94,Windows,3050.24,AMD,AMD Radeon,RX 6800,2020
636,HP,Intel i9,4,256GB SSD,Nvidia GTX 1650,16.0,3840x2160,10.0,3.04,Linux,2781.53,Intel,Nvidia,GTX 1650,2019
637,Samsung,Intel i3,4,1TB SSD,AMD Radeon RX 6600,16.0,3840x2160,11.6,2.85,macOS,1244.31,Intel,AMD Radeon,RX 6600,2021
638,HP,Intel i9,4,1TB SSD,Nvidia RTX 3060,14.0,1366x768,4.7,1.35,Windows,1338.48,Intel,Nvidia,RTX 3060,2021
639,Acer,Intel i9,4,1TB HDD,Nvidia,13.3,3840x2160,7.1,1.42,Linux,1402.27,Intel,Nvidia,,2019
640,Microsoft,AMD Ryzen 7,8,2TB SSD,Nvidia RTX 3060,15.6,2560x1440,4.2,1.55,macOS,1617.4,AMD,Nvidia,RTX 3060,2021
641,HP,AMD Ryzen 3,64,512GB SSD,Nvidia GTX 1650,13.3,3840x2160,8.7,3.33,Linux,3194.92,AMD,Nvidia,GTX 1650,2019
642,Asus,AMD Ryzen 9,16,2TB SSD,Nvidia RTX 3080,16.0,2560x1440,7.1,1.4,FreeDOS,2795.78,AMD,Nvidia,RTX 3080,2020
643,Samsung,AMD Ryzen 3,8,512GB SSD,Nvidia RTX 3060,15.6,1366x768,8.6,2.85,FreeDOS,841.68,AMD,Nvidia,RTX 3060,2021
644,Lenovo,Intel i3,32,256GB SSD,Nvidia,14.0,1366x768,11.5,1.51,FreeDOS,774.23,Intel,Nvidia,,2021
645,Samsung,Intel i5,16,1TB HDD,Nvidia,13.3,1366x768,9.0,3.39,macOS,713.12,Intel,Nvidia,,2020
646,Microsoft,Intel i5,8,1TB SSD,AMD Radeon RX 6800,17.3,3840x2160,7.0,1.45,Linux,1746.08,Intel,AMD Radeon,RX 6800,2020
647,Microsoft,Intel i3,32,1TB SSD,AMD Radeon RX 6800,14.0,3840x2160,9.4,1.93,Linux,2092.34,Intel,AMD Radeon,RX 6800,2020
648,MSI,AMD Ryzen 9,8,1TB HDD,AMD Radeon RX 6600,13.3,3840x2160,5.2,2.03,FreeDOS,2942.94,AMD,AMD Radeon,RX 6600,2021
649,Asus,Intel i9,32,1TB HDD,Nvidia RTX 3060,15.6,2560x1440,7.8,1.82,Linux,2922.13,Intel,Nvidia,RTX 3060,2021
650,Razer,AMD Ryzen 3,4,512GB SSD,Nvidia GTX 1650,16.0,2560x1440,9.6,2.74,macOS,1369.76,AMD,Nvidia,GTX 1650,2019
651,Asus,Intel i3,32,512GB SSD,Nvidia RTX 3080,13.3,1366x768,6.1,3.05,Linux,1122.16,Intel,Nvidia,RTX 3080,2020
652,Microsoft,Intel i3,16,1TB SSD,AMD Radeon RX 6600,17.3,2560x1440,9.4,2.65,Windows,1393.62,Intel,AMD Radeon,RX 6600,2021
653,Razer,AMD Ryzen 3,32,256GB SSD,Nvidia GTX 1650,13.3,1920x1080,6.1,1.36,Linux,1819.47,AMD,Nvidia,GTX 1650,2019
654,Samsung,Intel i9,8,256GB SSD,Nvidia,17.3,1366x768,9.9,2.48,macOS,1161.65,Intel,Nvidia,,2021
655,Razer,AMD Ryzen 3,64,512GB SSD,Nvidia,17.3,2560x1440,9.0,1.52,macOS,2622.91,AMD,Nvidia,,2019
656,Asus,Intel i5,8,2TB SSD,Nvidia RTX 2060,15.6,3840x2160,5.2,2.73,FreeDOS,1888.25,Intel,Nvidia,RTX 2060,2019
657,Microsoft,Intel i3,16,1TB HDD,Nvidia RTX 2060,16.0,2560x1440,11.1,3.01,macOS,1078.83,Intel,Nvidia,RTX 2060,2019
658,Asus,AMD Ryzen 9,4,1TB HDD,AMD Radeon RX 6800,17.3,3840x2160,9.7,2.38,Windows,2297.03,AMD,AMD Radeon,RX 6800,2020
660,MSI,AMD Ryzen 3,8,1TB SSD,Nvidia GTX 1650,13.3,1366x768,10.6,1.61,FreeDOS,1011.37,AMD,Nvidia,GTX 1650,2019
661,Lenovo,AMD Ryzen 7,4,2TB SSD,Nvidia RTX 3060,15.6,1920x1080,6.9,2.75,Linux,1245.92,AMD,Nvidia,RTX 3060,2021
662,Razer,Intel i9,8,256GB SSD,AMD Radeon RX 6600,13.3,3840x2160,5.6,3.09,Windows,3723.81,Intel,AMD Radeon,RX 6600,2021
663,Dell,Intel i5,8,1TB HDD,Nvidia RTX 3080,16.0,2560x1440,8.9,1.31,FreeDOS,1269.36,Intel,Nvidia,RTX 3080,2020
664,Samsung,Intel i7,32,256GB SSD,Nvidia,17.3,3840x2160,4.6,3.22,macOS,2315.84,Intel,Nvidia,,2021
